organization_id	workspace_name	module_id	module_name	primordialDate	fromTS	untilTS	status	write_metrics	Pipeline_SnapTS	Overwatch_RunID
2753962522174650	overwatch-field	1006	Bronze_SparkEventLogs	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""166"",""numOutputRows"":""962282"",""numOutputBytes"":""179109981""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1008	Bronze_Policies_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""20"",""numOutputBytes"":""17259""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1002	Bronze_Clusters_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""166"",""numOutputBytes"":""66732""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1003	Bronze_Pools_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""4"",""numOutputBytes"":""7543""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1011	Bronze_Global_Init_Scripts_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""2"",""numOutputBytes"":""3180""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1010	Bronze_Token_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""2"",""numOutputBytes"":""2495""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1001	Bronze_Jobs_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""760"",""numOutputBytes"":""255033""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	1009	Bronze_Instance_Profile_Snapshot	01/02/23	2023-03-29T09:07:36.769+0000	2023-03-30T09:07:29.630+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""7"",""numOutputBytes"":""2154""}"	2023-03-30T09:07:29.000+0000	087d1f6ff13646fab1beb09e2b0d56ac
2753962522174650	overwatch-field	3004	Gold_Notebook	06/03/23	2023-03-29T08:23:59.804+0000	2023-03-30T08:24:55.620+0000	SUCCESS	"{""numFiles"":""1"",""numOutputRows"":""445"",""numOutputBytes"":""29656""}"	2023-03-30T08:39:23.000+0000	272855b5a17647cdb67f4ba412fc0c11
										
										
										
										
