	Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
M5A 16xlarge,m5a.16xlarge,256.0,64,2.752,2.752,9.83,0,None,0,AMD EPYC 7571,2.5,EBS only,12 Gigabit,7000,875,TRUE,TRUE,1.734,0
M5A Double Extra Large,m5a.2xlarge,32.0,8,0.344,0.344,1.23,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.219,0
M5A Quadruple Extra Large,m5a.4xlarge,64.0,16,0.688,0.688,2.46,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.438,0
M5A Eight Extra Large,m5a.8xlarge,128.0,32,1.376,1.376,4.91,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.876,0
M5A Large,m5a.large,8.0,2,0.086,0.086,0.31,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.055,0
M5A Extra Large,m5a.xlarge,16.0,4,0.172,0.172,0.61,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,2120,265,TRUE,TRUE,0.109,0
M5 General Purpose 12xlarge,m5d.12xlarge,192.0,48,2.712,2.712,8.23,0,None,0,Intel Xeon Platinum 8175,2.5,1800 GiB (2 * 900 GiB NVMe SSD),10 Gigabit,7000,875,TRUE,TRUE,1.709,0
M5 General Purpose 16xlarge,m5d.16xlarge,256.0,64,3.616,3.616,10.96,0,None,0,Intel Xeon Platinum 8175,2.5,2400 GiB (4 * 600 GiB NVMe SSD),20 Gigabit,10000,1250,TRUE,TRUE,2.278,0
M5 General Purpose 24xlarge,m5d.24xlarge,384.0,96,5.424,5.424,16.46,0,None,0,Intel Xeon Platinum 8175,2.5,3600 GiB (4 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,TRUE,3.417,0
M5 General Purpose Double Extra Large,m5d.2xlarge,32.0,8,0.452,0.452,1.37,0,None,0,Intel Xeon Platinum 8175,2.5,300 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.288,0
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64.0,16,0.904,0.904,2.74,0,None,0,Intel Xeon Platinum 8175,2.5,600 GiB (2 * 300 GiB NVMe SSD),Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.576,0
M5 General Purpose Eight Extra Large,m5d.8xlarge,128.0,32,1.808,1.808,5.48,0,None,0,Intel Xeon Platinum 8175,2.5,1200 GiB (2 * 600 GiB NVMe SSD),10 Gigabit,5000,625,TRUE,TRUE,1.139,0
M5 General Purpose Large,m5d.large,8.0,2,0.113,0.113,0.34,0,None,0,Intel Xeon Platinum 8175,2.5,75 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.072,0
M5 General Purpose Extra Large,m5d.xlarge,16.0,4,0.226,0.226,0.69,0,None,0,Intel Xeon Platinum 8175,2.5,150 GiB NVMe SSD,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,0.144,0
General Purpose GPU 16xlarge,p2.16xlarge,732.0,64,14.4,14.4,19.52,16,NVIDIA Tesla K80,192,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,10000,1250,FALSE,TRUE,9.828,0
General Purpose GPU Eight Extra Large,p2.8xlarge,488.0,32,7.2,7.2,9.76,8,NVIDIA Tesla K80,96,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,5000,625,FALSE,TRUE,4.914,0
General Purpose GPU Extra Large,p2.xlarge,61.0,4,0.9,0.9,1.22,1,NVIDIA Tesla K80,12,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,High,750,93.75,FALSE,TRUE,0.614,0
P3 16xlarge,p3.16xlarge,488.0,64,24.48,24.48,33.20,8,NVIDIA Tesla V100,128,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,25 Gigabit,14000,1750,FALSE,TRUE,16.708,0
P3 Double Extra Large,p3.2xlarge,61.0,8,3.06,3.06,4.15,1,NVIDIA Tesla V100,16,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,1750,218,FALSE,TRUE,2.088,0
P3 Eight Extra Large,p3.8xlarge,244.0,32,12.24,12.24,16.60,4,NVIDIA Tesla V100,64,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,7000,875,FALSE,TRUE,8.354,0
R3 High-Memory Double Extra Large,r3.2xlarge,61.0,8,0.665,0.665,2.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,160 GiB SSD,High,1000,125,FALSE,TRUE,0.418,0
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122.0,16,1.33,1.33,4.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,320 GiB SSD,High,2000,250,FALSE,TRUE,0.836,0
R3 High-Memory Eight Extra Large,r3.8xlarge,244.0,32,2.66,2.66,8.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,640 GiB (2 * 320 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,1.672,0
R3 High-Memory Extra Large,r3.xlarge,30.5,4,0.333,0.333,1.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,80 GiB SSD,Moderate,500,62.5,FALSE,TRUE,0.209,0
R4 High-Memory 16xlarge,r4.16xlarge,488.0,64,4.256,4.256,16.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,20 Gigabit,14000,1750,FALSE,TRUE,2.688,0
R4 High-Memory Double Extra Large,r4.2xlarge,61.0,8,0.532,0.532,2.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,1700,212.5,FALSE,TRUE,0.336,0
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122.0,16,1.064,1.064,4.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,3500,437.5,FALSE,TRUE,0.672,0
R4 High-Memory Eight Extra Large,r4.8xlarge,244.0,32,2.128,2.128,8.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,10 Gigabit,7000,875,FALSE,TRUE,1.344,0
R4 High-Memory Extra Large,r4.xlarge,30.5,4,0.266,0.266,1.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,EBS only,Up to 10 Gigabit,850,106.25,FALSE,TRUE,0.168,0
R5 12xlarge,r5.12xlarge,384.0,48,3.024,3.024,10.80,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,7000,875,TRUE,FALSE,1.905,0
R5 16xlarge,r5.16xlarge,512.0,64,4.032,4.032,14.40,0,None,0,Intel Xeon Platinum 8175,0,EBS only,20 Gigabit,10000,1250,TRUE,FALSE,2.54,0
R5 24xlarge,r5.24xlarge,768.0,96,6.048,6.048,21.60,0,None,0,Intel Xeon Platinum 8175,0,EBS only,25 Gigabit,14000,1750,TRUE,FALSE,3.81,0
R5 Double Extra Large,r5.2xlarge,64.0,8,0.504,0.504,1.80,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.318,0
R5 Quadruple Extra Large,r5.4xlarge,128.0,16,1.008,1.008,3.60,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.635,0
R5 Eight Extra Large,r5.8xlarge,256.0,32,2.016,2.016,7.20,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,5000,625,TRUE,FALSE,1.27,0
R5 Large,r5.large,16.0,2,0.126,0.126,0.45,0,None,0,Intel Xeon Platinum 8175,3.1,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.079,0
R5 Extra Large,r5.xlarge,32.0,4,0.252,0.252,0.90,0,None,0,Intel Xeon Platinum 8175,0,EBS only,10 Gigabit,3500,437.5,TRUE,FALSE,0.159,0
R5A 12xlarge,r5a.12xlarge,384.0,48,2.712,2.712,9.69,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,5000,625,TRUE,TRUE,1.709,0
R5A 16xlarge,r5a.16xlarge,512.0,64,3.616,3.616,12.91,0,None,0,AMD EPYC 7571,2.5,EBS only,12 Gigabit,7000,875,TRUE,TRUE,2.278,0
R5A 24xlarge,r5a.24xlarge,768.0,96,5.424,5.424,19.37,0,None,0,AMD EPYC 7571,2.5,EBS only,20 Gigabit,10000,1250,TRUE,TRUE,3.417,0
R5A Double Extra Large,r5a.2xlarge,64.0,8,0.452,0.452,1.61,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.285,0
R5A Quadruple Extra Large,r5a.4xlarge,128.0,16,0.904,0.904,3.23,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.57,0
R5A Eight Extra Large,r5a.8xlarge,256.0,32,1.808,1.808,6.46,0,None,0,AMD EPYC 7571,2.5,EBS only,Up to 10 Gigabit,3500,437.5,TRUE,TRUE,1.141,0
R5A Large,r5a.large,16.0,2,0.113,0.113,0.41,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.071,0
R5A Extra Large,r5a.xlarge,32.0,4,0.226,0.226,0.81,0,None,0,AMD EPYC 7571,2.5,EBS only,10 Gigabit,2120,265,TRUE,TRUE,0.143,0
R5D 12xlarge,r5d.12xlarge,384.0,48,3.456,3.456,10.80,0,None,0,Intel Xeon Platinum 8175,0,1800 GiB (2 * 900 GiB NVMe SSD),10 Gigabit,7000,875,TRUE,FALSE,2.177,0
R5D 16xlarge,r5d.16xlarge,512.0,64,4.608,4.608,14.40,0,None,0,Intel Xeon Platinum 8175,0,2400 GiB (4 * 600 GiB NVMe SSD),20 Gigabit,10000,1250,TRUE,FALSE,2.908,0
R5D 24xlarge,r5d.24xlarge,768.0,96,6.912,6.912,21.60,0,None,0,Intel Xeon Platinum 8175,0,3600 GiB (4 * 900 GiB NVMe SSD),25 Gigabit,14000,1750,TRUE,FALSE,4.355,0
R5D Double Extra Large,r5d.2xlarge,64.0,8,0.576,0.576,1.80,0,None,0,Intel Xeon Platinum 8175,0,300 GiB NVMe SSD,10 Gigabit,3500,437.5,TRUE,FALSE,0.364,0
